case_id,outcome,expected_intent,actual_intent,expected_tool,actual_tool
gc_176,passed,,,,
ec_001,passed,,,,
gc_051,passed,,,,
ec_126,passed,,,,
ec_127,passed,,,,
ec_002,passed,,,,
gc_177,passed,,,,
gc_052,passed,,,,
ec_128,passed,,,,
ec_003,passed,,,,
ec_129,passed,,,,
ec_004,passed,,,,
gc_053,passed,,,,
gc_054,passed,,,,
ec_130,passed,,,,
ec_005,passed,,,,
gc_178,passed,,,,
gc_179,failed,general_chat,knowledge_qa,,
ec_131,passed,,,,
ec_006,failed,tool_execution,general_chat,,
gc_055,passed,,,,
gc_180,failed,general_chat,knowledge_qa,,
ec_132,passed,,,,
ec_007,passed,,,,
ec_008,passed,,,,
gc_056,passed,,,,
ec_133,failed,,,query_timesheet,compute_statistics
gc_181,passed,,,,
ec_009,failed,tool_execution,general_chat,,
gc_057,passed,,,,
ec_134,passed,,,,
gc_182,failed,general_chat,knowledge_qa,,
ec_010,failed,tool_execution,general_chat,,
ec_135,failed,,,query_timesheet,compute_statistics
gc_058,passed,,,,
gc_183,passed,,,,
ec_136,passed,,,,
ec_011,failed,tool_execution,general_chat,,
gc_059,passed,,,,
ec_137,failed,,,query_timesheet,compute_statistics
ec_138,failed,,,query_timesheet,compute_statistics
gc_184,passed,,,,
gc_060,passed,,,,
ec_012,passed,,,,
ec_139,passed,,,,
ec_013,passed,,,,
gc_061,passed,,,,
gc_185,passed,,,,
ec_140,passed,,,,
ec_014,passed,,,,
gc_062,passed,,,,
ec_141,passed,,,,
gc_063,passed,,,,
ec_015,passed,,,,
gc_186,passed,,,,
ec_142,passed,,,,
ec_016,failed,tool_execution,general_chat,,
gc_187,passed,,,,
gc_064,passed,,,,
gc_065,passed,,,,
gc_066,passed,,,,
ec_143,passed,,,,
ec_017,passed,,,,
gc_067,passed,,,,
gc_188,passed,,,,
gc_068,passed,,,,
ec_018,passed,,,,
ec_144,failed,tool_execution,general_chat,,
gc_069,passed,,,,
gc_070,passed,,,,
gc_189,passed,,,,
ec_019,passed,,,,
gc_071,passed,,,,
ec_145,passed,,,,
ec_020,passed,,,,
gc_072,passed,,,,
gc_073,passed,,,,
ec_146,passed,,,,
gc_190,failed,general_chat,knowledge_qa,,
ec_021,passed,,,,
ec_147,passed,,,,
gc_074,passed,,,,
ec_022,failed,tool_execution,general_chat,,
ec_148,failed,,,query_timesheet,compute_statistics
gc_075,passed,,,,
ec_149,passed,,,,
